SDDS data category and component,Unitdescription,Date of latest,Latest data,Previous period,% change over same period of previous year,Agency,heading
Current account (nsa),R Million,Q2/17,-18102,-31261,,SARB,Balance of Payments  (7)
Goods: exports (nsa),R Million,Q2/17,275004,255914,,SARB,Balance of Payments  (7)
Goods: imports (nsa),R Million,Q2/17,269719,264620,,SARB,Balance of Payments  (7)
Services: credit (nsa),R Million,Q2/17,48377,54534,,SARB,Balance of Payments  (7)
Services: debit (nsa),R Million,Q2/17,54101,51732,,SARB,Balance of Payments  (7)
Income: credit (nsa),R Million,Q2/17,14126,23747,,SARB,Balance of Payments  (7)
Income: debit (nsa),R Million,Q2/17,39450,55724,,SARB,Balance of Payments  (7)
Current transfers: credit (nsa)  (8),R Million,Q2/17,5396,5177,,SARB,Balance of Payments  (7)
Current transfers: debit (nsa)  (8),R Million,Q2/17,16356,12321,,SARB,Balance of Payments  (7)
Capital account (nsa),R Million,Q2/17,63,60,,SARB,Balance of Payments  (7)
Capital account: credit (nsa),R Million,Q2/17,103,102,,SARB,Balance of Payments  (7)
Capital account: debit (nsa),R Million,Q2/17,40,42,,SARB,Balance of Payments  (7)
Financial account  (9),R Million,Q2/17,3176,37564,,SARB,Balance of Payments  (7)
Direct investment abroad,R Million,Q2/17,-30424,-9919,,SARB,Balance of Payments  (7)
Direct investment in reporting economy,R Million,Q2/17,3879,8994,,SARB,Balance of Payments  (7)
"Portfolio investment, assets",R Million,Q2/17,-9412,-18402,,SARB,Balance of Payments  (7)
"Portfolio investment, liabilities",R Million,Q2/17,74730,25945,,SARB,Balance of Payments  (7)
"Financial derivatives, assets",R Million,Q2/17,58418,90565,,SARB,Balance of Payments  (7)
"Financial derivatives, liabilities",R Million,Q2/17,-59627,-90924,,SARB,Balance of Payments  (7)
"Other investment, assets",R Million,Q2/17,-3104,-22241,,SARB,Balance of Payments  (7)
"Other investment, liabilities",R Million,Q2/17,-29388,40879,,SARB,Balance of Payments  (7)
Reserve assets,R Million,Q2/17,-1896,12667,,SARB,Balance of Payments  (7)
Net errors and omissions,R Million,Q2/17,14863,-6363,,SARB,Balance of Payments  (7)
Official Reserve Assets  (10),US $ Million,Sep/17,49384,46921,,SARB,Balance of Payments  (7)
IMF reserve position,US $ Million,Sep/17,661,661,,SARB,Balance of Payments  (7)
Special drawing rights,US $ Million,Sep/17,2110,2109,,SARB,Balance of Payments  (7)
Gold,US $ Million,Sep/17,5189,5262,,SARB,Balance of Payments  (7)
Foreign currency reserves,US $ Million,Sep/17,41424,38889,,SARB,Balance of Payments  (7)
Other reserve assets,US $ Million,Sep/17,0,0,,SARB,Balance of Payments  (7)
Template on International Reserves and foreign currency liquidity,R Million,Aug/17,613415,612789,,SARB,Balance of Payments  (7)
