SDDS data category and component,Unitdescription,Date of latest,Latest data,Previous period,% change over same period of previous year,Agency,heading
Assets,R Billion,Q2/17,6290,6068,,SARB,International investment position as at end of quarter
Direct investment,R Billion,Q2/17,2803,2591,,SARB,International investment position as at end of quarter
Portfolio investment,R Billion,Q2/17,2276,2245,,SARB,International investment position as at end of quarter
Equity,R Billion,Q2/17,2157,2132,,SARB,International investment position as at end of quarter
Debt,R Billion,Q2/17,119,113,,SARB,International investment position as at end of quarter
Financial derivatives,R Billion,Q2/17,86,95,,SARB,International investment position as at end of quarter
Other investment,R Billion,Q2/17,507,519,,SARB,International investment position as at end of quarter
Reserve assets,R Billion,Q2/17,618,618,,SARB,International investment position as at end of quarter
Liabilities,R Billion,Q2/17,5634,5622,,SARB,International investment position as at end of quarter
Direct investment,R Billion,Q2/17,1830,1842,,SARB,International investment position as at end of quarter
Portfolio investment,R Billion,Q2/17,2942,2879,,SARB,International investment position as at end of quarter
Equity,R Billion,Q2/17,1964,1947,,SARB,International investment position as at end of quarter
Debt,R Billion,Q2/17,978,932,,SARB,International investment position as at end of quarter
Financial derivatives,R Billion,Q2/17,92,102,,SARB,International investment position as at end of quarter
Other investment,R Billion,Q2/17,770,799,,SARB,International investment position as at end of quarter
Net position (external financial assets minus liabilities),R Billion,Q2/17,656,447,,SARB,International investment position as at end of quarter
External debt,US $ Million,Q2/17,158533,152128,,SARB,International investment position as at end of quarter
