,Gold and Foreign Exchange Position ,,,,,,,,,,,,
,,,,,,,,,,,,,
,(TIME SERIES),,,,,,,,,,,,
,This time series represents the Gold and Foreign Exchange Position over a period of time published by the South African Reserve Bank and updated at the end of each month.,,,,,,,,,,,,
,Month-,Gold,Foreign,Gross,Foreign ,Gold,Foreign,Gross,Foreign ,Other,Forward,International,Exchange
,end,Reserves 1,Exchange,Reserves,Loans,Reserves 2,Exchange,Reserves,Loans,,Position,Liquidity,Rate
,,,Reserves,,Received,,Reserves,,Received,,,Position/,
,,,,,,,,,,,,Net Reserves,
,,R'Million,R'Million,R'Million,R'Million,$'Millions,$'Millions,$'Millions,$'Millions,$'Millions,$'Millions,$'Millions,Rand\USD
,,-1,-2,(1+2),-3,-4,-5,(4+5),-6,-7,-8,(4+5+6+7+8),
,1994-01-31,5 573.1 ,3 552.3 ,9 125.4 ,3 489.8 ,,,,,,(17 818.9),(16 062.1),3.4225
,1994-02-28,5 485.2 ,3 314.3 ,8 799.6 ,3 934.8 ,,,,,,(18 160.8),(16 935.5),3.4715
,1994-03-31,5 895.1 ,2 038.7 ,7 933.9 ,5 040.4 ,,,,,,(19 736.0),(18 853.8),3.479
,1994-04-30,5 443.0 ,1 854.9 ,7 297.9 ,8 517.3 ,,,,,,(18 869.1),(18 895.6),3.531
,1994-05-31,5 548.1 ,1 618.2 ,7 166.3 ,6 839.8 ,,,,,,(19 179.3),(19 365.6),3.632
,1994-06-30,5 356.6 ,1 727.2 ,7 083.9 ,6 650.9 ,,,,,,(19 792.0),(19 979.3),3.6505
,1994-07-31,5 294.6 ,2 273.0 ,7 567.6 ,5 731.7 ,,,,,,(21 714.0),(21 743.1),3.6725
,1994-08-31,4 605.8 ,3 245.0 ,7 850.8 ,4 871.6 ,,,,,,(24 362.2),(23 626.4),3.5875
,1994-09-30,4 628.8 ,3 431.8 ,8 060.7 ,4 831.4 ,,,,,,(24 770.4),(24 245.7),3.5755
,1994-10-31,4 376.0 ,4 593.4 ,8 969.4 ,3 517.8 ,,,,,,(26 911.3),(25 534.3),3.5035
,1994-11-30,4 747.2 ,4 639.6 ,9 386.9 ,2 953.8 ,,,,,,(27 169.2),(25 723.0),3.5525
,1994-12-31,5 120.1 ,5 966.6 ,11 086.7 ,5 083.4 ,,,,,,(26 895.7),(25 201.5),3.5435
,,,,,,,,,,,,,
,1995-01-31,5 351.8 ,5 968.9 ,11 320.7 ,4 723.8 ,,,,,,0,(25 357.5),3.5265
,1995-02-28,5 579.1 ,6 793.1 ,12 372.2 ,3 601.7 ,,,,,,0,(26 551.8),3.6095
,1995-03-31,5 449.2 ,6 581.4 ,12 030.7 ,3 671.2 ,,,,,,0,(25 857.0),3.5925
,1995-04-30,5 664.6 ,4 489.2 ,10 153.9 ,5 779.2 ,,,,,,0,(25 561.0),3.6215
,1995-05-31,5 602.0 ,6 904.7 ,12 506.7 ,2 348.0 ,,,,,,0,(25 789.5),3.6675
,1995-06-30,5 888.1 ,6 493.8 ,12 381.9 ,1 593.0 ,,,,,,0,(25 241.8),3.6385
,1995-07-31,5 875.5 ,6 248.0 ,12 123.5 ,1 984.1 ,,,,,,0,(23 756.8),3.6225
,1995-08-31,5 862.0 ,6 042.8 ,11 904.7 ,1 675.1 ,,,,,,0,(22 313.6),3.6565
,1995-09-30,5 727.3 ,6 065.2 ,11 792.6 ,1 337.9 ,,,,,,0,(21 041.3),3.6475
,1995-10-31,5 568.5 ,6 396.4 ,11 964.8 ,324.5,,,,,,0,(19 841.7),3.6465
,1995-11-30,5 433.3 ,8 002.7 ,13 435.9 ,0,,,,,,0,(15 012.1),3.6635
,1995-12-31,5 401.0 ,10 279.2 ,15 680.2 ,0,,,,,,0,(13 966.0),3.6475
,,,,,,,,,,,,,
,1996-01-31,5 869.1 ,9 581.6 ,15 450.7 ,0,,,,,,0,(9 657.8),3.6535
,1996-02-28,6 626.3 ,8 090.5 ,14 716.8 ,0,,,,,,0,(8 117.8),3.8595
,1996-03-31,6 737.9 ,7 254.6 ,13 992.5 ,0,,,,,,0,(8 518.7),3.9895
,1996-04-30,7 168.2 ,4 525.8 ,11 694.0 ,920.3,,,,,,0,(12 300.6),4.3825
,1996-05-31,7 179.6 ,3 818.3 ,10 997.8 ,0,,,,,,0,(13 610.8),4.3725
,1996-06-30,6 627.1 ,4 626.6 ,11 253.6 ,0,,,,,,0,(13 690.6),4.3285
,1996-07-31,6 531.3 ,3 839.0 ,10 370.3 ,0,,,,,,0,(15 090.8),4.475
,1996-08-31,6 264.3 ,3 813.9 ,10 078.2 ,0,,,,,,0,(16 392.3),4.4885
,1996-09-30,5 991.1 ,4 051.4 ,10 042.5 ,612.4,,,,,,0,(16 814.0),4.52
,1996-10-31,6 212.4 ,4 071.6 ,10 284.0 ,0,,,,,,0,(19 899.8),4.7095
,1996-11-30,5 910.6 ,5 024.3 ,10 934.9 ,0,,,,,,0,(20 935.0),4.5965
,1996-12-31,5 903.5 ,4 401.9 ,10 305.4 ,0,,,,,,0,(22 166.5),4.683
,,,,,,,,,,,,,
