,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Historical Data: South African Benchmark Overnight Rate (SABOR) and ,,,,,
Overnight Foreigh Exchange (FX) Rate,,,,,
,,,,,
,,,,,
,SABOR (%), Vol (Rmill) ,,FX (%) ,Vol (Rmill)
,,,,,
"28-Aug-07,Tue",9.609," R 68,020 ",,9.905," R 14,586 "
"29-Aug-07,Wed",9.612," R 66,353 ",,9.941," R 20,529 "
"30-Aug-07,Thu",9.601," R 64,410 ",,9.742," R 16,602 "
"31-Aug-07,Fri",9.600," R 66,119 ",,10.064," R 17,647 "
"03-Sep-07,Mon",9.615," R 65,457 ",,,
"04-Sep-07,Tue",9.602," R 63,834 ",,9.828," R 13,831 "
"05-Sep-07,Wed",9.601," R 70,947 ",,9.684," R 12,874 "
"06-Sep-07,Thu",9.588," R 70,215 ",,9.544," R 16,391 "
"07-Sep-07,Fri",9.594," R 65,246 ",,9.527," R 17,043 "
"10-Sep-07,Mon",9.583," R 63,292 ",,9.423," R 21,997 "
"11-Sep-07,Tue",9.604," R 62,845 ",,9.676," R 8,880 "
"12-Sep-07,Wed",9.606," R 64,932 ",,9.651," R 8,793 "
"13-Sep-07,Thu",9.612," R 62,605 ",,9.750," R 8,839 "
"14-Sep-07,Fri",9.626," R 62,526 ",,9.807," R 12,592 "
"17-Sep-07,Mon",9.629," R 64,974 ",,9.883," R 12,364 "
"18-Sep-07,Tue",9.629," R 62,972 ",,9.826," R 13,919 "
"19-Sep-07,Wed",9.576," R 67,534 ",,9.608," R 16,452 "
"20-Sep-07,Thu",9.577," R 68,031 ",,9.624," R 10,961 "
"21-Sep-07,Fri",9.583," R 71,847 ",,9.650," R 17,568 "
"24-Sep-07,Mon",9.583," R 71,848 ",,9.650," R 17,568 "
"25-Sep-07,Tue",9.514," R 64,677 ",,9.847," R 14,270 "
"26-Sep-07,Wed",9.550," R 64,910 ",,9.872," R 11,364 "
"27-Sep-07,Thu",9.617," R 67,059 ",,9.745," R 8,243 "
"28-Sep-07,Fri",9.633," R 66,005 ",,9.890," R 18,352 "
