Date,measurement,measurement_units,code_number,time_series_code,Code,Description,Frequency,Start Date,End Date,Type Description,number_of_ts,timeseries_position,category,sub_category
1960,243,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
1961,255,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
1962,276,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
1963,302,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
1964,337,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
1965,355,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
1966,400,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
1967,424,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
1968,452,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
1969,502,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
1970,550,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
1971,607,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
1972,678,R_millions,1000,KBP1000J,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Yearly,1960,2016,",",2,1,South African Reserve Bank liabilities, Notes and coin in circulation
