Code,Description,Frequencies,code_number,ts_code,Frequency,Start Date,End Date,Type Description,number_of_ts,timeseries_position
KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,"Monthly,Yearly",1000,KBP1000J,Yearly,1960,2016,",",2,1
KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,"Monthly,Yearly",1000,KBP1000M,Monthly,1960/01,2017/06,",",2,2
KBP1005,South African Reserve Bank liabilities: Deposits: Other Balances,"Monthly,Yearly",1005,KBP1005J,Yearly,1964,2016,",",2,1
KBP1005,South African Reserve Bank liabilities: Deposits: Other Balances,"Monthly,Yearly",1005,KBP1005M,Monthly,1964/01,2017/06,",",2,2
KBP1006,South African Reserve Bank liabilities: Other domestic deposits,"Monthly,Yearly",1006,KBP1006J,Yearly,1964,2016,",",2,1
KBP1006,South African Reserve Bank liabilities: Other domestic deposits,"Monthly,Yearly",1006,KBP1006M,Monthly,1964/01,2017/06,",",2,2
KBP1007,South African Reserve Bank liabilities: Other foreign deposits,"Monthly,Yearly",1007,KBP1007J,Yearly,1964,2016,",",2,1
KBP1007,South African Reserve Bank liabilities: Other foreign deposits,"Monthly,Yearly",1007,KBP1007M,Monthly,1964/01,2017/06,",",2,2
KBP1008,South African Reserve Bank liabilities: Total deposits,"Monthly,Yearly",1008,KBP1008J,Yearly,1964,2016,",",2,1
KBP1008,South African Reserve Bank liabilities: Total deposits,"Monthly,Yearly",1008,KBP1008M,Monthly,1964/01,2017/06,",",2,2
KBP1009,South African Reserve Bank liabilities: Foreign loans,"Monthly,Yearly",1009,KBP1009J,Yearly,1964,2016,",",2,1
KBP1009,South African Reserve Bank liabilities: Foreign loans,"Monthly,Yearly",1009,KBP1009M,Monthly,1964/01,2017/06,",",2,2
KBP1010,South African Reserve Bank liabilities: Capital and reserves,"Monthly,Yearly",1010,KBP1010J,Yearly,1964,2016,",",2,1
KBP1010,South African Reserve Bank liabilities: Capital and reserves,"Monthly,Yearly",1010,KBP1010M,Monthly,1964/01,2017/06,",",2,2
KBP1011,South African Reserve Bank liabilities: Other liabilities,"Monthly,Yearly",1011,KBP1011J,Yearly,1964,2016,",",2,1
KBP1011,South African Reserve Bank liabilities: Other liabilities,"Monthly,Yearly",1011,KBP1011M,Monthly,1964/01,2017/06,",",2,2
KBP1012,South African Reserve Bank liabilities: Total liabilities,"Monthly,Yearly",1012,KBP1012J,Yearly,1964,2016,",",2,1
KBP1012,South African Reserve Bank liabilities: Total liabilities,"Monthly,Yearly",1012,KBP1012M,Monthly,1964/01,2017/06,",",2,2
KBP1013,South African Reserve Bank liabilities: Cash reserve contra account (surplus),"Monthly,Yearly",1013,KBP1013J,Yearly,1998,2016,",",2,1
KBP1013,South African Reserve Bank liabilities: Cash reserve contra account (surplus),"Monthly,Yearly",1013,KBP1013M,Monthly,1998/03,2017/06,",",2,2
KBP1014,South African Reserve Bank liabilities: Deposits: Required reserve balances,"Monthly,Yearly",1014,KBP1014J,Yearly,1993,2016,",",2,1
KBP1014,South African Reserve Bank liabilities: Deposits: Required reserve balances,"Monthly,Yearly",1014,KBP1014M,Monthly,1964/01,2017/06,",",2,2
KBP1015,Securities of South African Reserve Bank/Reserve Bank (SARB) (including SARB debentures),"Monthly,Yearly",1015,KBP1015J,Yearly,1998,2016,",",2,1
KBP1015,Securities of South African Reserve Bank/Reserve Bank (SARB) (including SARB debentures),"Monthly,Yearly",1015,KBP1015M,Monthly,1998/03,2017/06,",",2,2
KBP1016,South African Reserve Bank liabilities: Deposits by Central Government: Rand denominated,"Monthly,Yearly",1016,KBP1016J,Yearly,2003,2016,",",2,1
KBP1016,South African Reserve Bank liabilities: Deposits by Central Government: Rand denominated,"Monthly,Yearly",1016,KBP1016M,Monthly,2002/05,2017/06,",",2,2
KBP1017,South African Reserve Bank liabilities: Deposits by Central Government: Foreign currency denominated,"Monthly,Yearly",1017,KBP1017J,Yearly,2003,2016,",",2,1
KBP1017,South African Reserve Bank liabilities: Deposits by Central Government: Foreign currency denominated,"Monthly,Yearly",1017,KBP1017M,Monthly,2002/05,2017/06,",",2,2
KBP1020,South African Reserve Bank/Reserve Bank (SARB) assets: Gold coin and bullion,"Monthly,Yearly",1020,KBP1020J,Yearly,1964,2016,",",2,1
KBP1020,South African Reserve Bank/Reserve Bank (SARB) assets: Gold coin and bullion,"Monthly,Yearly",1020,KBP1020M,Monthly,1964/01,2017/06,",",2,2
KBP1021,South African Reserve Bank assets: Total gold and other foreign reserves,"Monthly,Yearly",1021,KBP1021J,Yearly,1964,2016,",",2,1
